MOH(t),ANTM(t),HUM(t),UNH(t),MOH(t-1),ANTM(t-1),HUM(t-1),UNH(t-1),MOH(t-2),ANTM(t-2),HUM(t-2),UNH(t-2),MOH(t-3),ANTM(t-3),HUM(t-3),UNH(t-3),Y(t)
1.0,0.8736629783593236,0.9114452673415501,0.9269337148521369,0.9978710913507135,0.8716485732770135,0.9105879875206266,0.9256354746234684,0.9955489044196213,0.8699493911492503,0.9099030208408021,0.9244645576556834,0.9929108295872258,0.8675925305529474,0.9086639060008087,0.9227660262594226,0.925251457484456
0.8736629783593236,1.0,0.8688955959421358,0.94408855430238,0.8723629147787796,0.9965126056249476,0.8677840726059644,0.9426554806904475,0.8711420315726373,0.9937124731082622,0.8670759868112538,0.9416760666601941,0.8692710130355078,0.9900455193347563,0.8654775537524838,0.9397480197427531,0.9404446712282332
0.9114452673415501,0.8688955959421358,1.0,0.9692169180040928,0.9090516869985293,0.8649551760003749,0.9968668941190477,0.966487456483592,0.9065513959160864,0.861406479932066,0.9940181117589189,0.9639825614687761,0.9035501860188494,0.857054492544346,0.9904206573772605,0.9605766388992086,0.9674547275793401
0.9269337148521369,0.94408855430238,0.9692169180040928,1.0,0.924983992050477,0.9405351014227278,0.9674681197115026,0.9973743285713964,0.9231623380054782,0.9376144418604503,0.9660314015016737,0.9953573014408365,0.9208549502405059,0.9339378040191134,0.9638549325279401,0.9924937850628285,0.9973718190664644
0.9978710913507135,0.8723629147787796,0.9090516869985293,0.924983992050477,1.0,0.8737577536081961,0.9114210176961406,0.9266809658534367,0.9978685564656273,0.8718819310872323,0.910590292508576,0.9254240478356405,0.9955397100937223,0.8701356128808553,0.9098943151509697,0.924234534778741,0.9234337683475767
0.8716485732770135,0.9965126056249476,0.8649551760003749,0.9405351014227278,0.8737577536081961,1.0,0.8689741266077073,0.9441555781876306,0.8724309359262228,0.9965277988238812,0.8678644347618754,0.9427053899320063,0.871237828301135,0.9937231787779579,0.8671573758755399,0.9417209480023685,0.9374173851970551
0.9105879875206266,0.8677840726059644,0.9968668941190477,0.9674681197115026,0.9114210176961406,0.8689741266077073,1.0,0.9692161356207197,0.909007012387948,0.8651022838326339,0.9968692171858681,0.9664812822719275,0.9065280812922625,0.8615361459694079,0.9940208609878858,0.9639716470632268,0.965995684083789
0.9256354746234684,0.9426554806904475,0.966487456483592,0.9973743285713964,0.9266809658534367,0.9441555781876306,0.9692161356207197,1.0,0.9247241805437685,0.9407007154459641,0.9674874122539048,0.9973784538017182,0.9229215802015067,0.9377558150328368,0.966049292685087,0.9953627597539518,0.9953470118855591
0.9955489044196213,0.8711420315726373,0.9065513959160864,0.9231623380054782,0.9978685564656273,0.8724309359262228,0.909007012387948,0.9247241805437685,1.0,0.8739571462125749,0.9114026354930083,0.9264602042892099,0.9978650987799993,0.8720370912363449,0.9105616409317294,0.9251850072833557,0.9211103709047629
0.8699493911492503,0.9937124731082622,0.861406479932066,0.9376144418604503,0.8718819310872323,0.9965277988238812,0.8651022838326339,0.9407007154459641,0.8739571462125749,1.0,0.8691123991805824,0.9442883340445685,0.8726653940753183,0.9965321157081575,0.8680063322284031,0.9428347867507316,0.9337674084705562
0.9099030208408021,0.8670759868112538,0.9940181117589189,0.9660314015016737,0.910590292508576,0.8678644347618754,0.9968692171858681,0.9674874122539048,0.9114026354930083,0.8691123991805824,1.0,0.969223878899783,0.9090127235935193,0.8652261281889784,0.9968707413374093,0.9664851193928679,0.9638211926008468
0.9244645576556834,0.9416760666601941,0.9639825614687761,0.9953573014408365,0.9254240478356405,0.9427053899320063,0.9664812822719275,0.9973784538017182,0.9264602042892099,0.9442883340445685,0.969223878899783,1.0,0.9245252689662432,0.9408133091536587,0.9674948636574507,0.9973799674764189,0.992482266836177
0.9929108295872258,0.8692710130355078,0.9035501860188494,0.9208549502405059,0.9955397100937223,0.871237828301135,0.9065280812922625,0.9229215802015067,0.9978650987799993,0.8726653940753183,0.9090127235935193,0.9245252689662432,1.0,0.8741472352461467,0.9114000633352368,0.92624527445104,0.9191452135774404
0.8675925305529474,0.9900455193347563,0.857054492544346,0.9339378040191134,0.8701356128808553,0.9937231787779579,0.8615361459694079,0.9377558150328368,0.8720370912363449,0.9965321157081575,0.8652261281889784,0.9408133091536587,0.8741472352461467,1.0,0.8692357596420347,0.94439345391511,0.9306220131491454
0.9086639060008087,0.8654775537524838,0.9904206573772605,0.9638549325279401,0.9098943151509697,0.8671573758755399,0.9940208609878858,0.966049292685087,0.9105616409317294,0.8680063322284031,0.9968707413374093,0.9674948636574507,0.9114000633352368,0.8692357596420347,1.0,0.9692248529768477,0.961773125380743
0.9227660262594226,0.9397480197427531,0.9605766388992086,0.9924937850628285,0.924234534778741,0.9417209480023685,0.9639716470632268,0.9953627597539518,0.9251850072833557,0.9428347867507316,0.9664851193928679,0.9973799674764189,0.92624527445104,0.94439345391511,0.9692248529768477,1.0,0.9901210772818604
0.925251457484456,0.9404446712282332,0.9674547275793401,0.9973718190664644,0.9234337683475767,0.9374173851970551,0.965995684083789,0.9953470118855591,0.9211103709047629,0.9337674084705562,0.9638211926008468,0.992482266836177,0.9191452135774404,0.9306220131491454,0.961773125380743,0.9901210772818604,1.0
