trainMSE,testMSE
30841.517578125,32127.208984375
12047.798828125,13072.6650390625
8910.599609375,9988.3486328125
4646.33447265625,5552.4697265625
2150.1591796875,2880.360107421875
1753.3565673828125,2402.19287109375
1624.573974609375,2212.345947265625
1428.115234375,1961.44921875
1270.2763671875,1737.843994140625
1091.50146484375,1521.963134765625
939.3019409179688,1312.7359619140625
787.6787719726562,1071.2159423828125
631.7684326171875,858.3657836914062
480.90869140625,641.0244750976562
355.662841796875,460.8330993652344
271.7712097167969,346.8006591796875
179.8940887451172,225.033935546875
121.51887512207031,156.78036499023438
75.91194152832031,93.9992446899414
60.123779296875,74.80583953857422
44.00240707397461,54.18921661376953
38.41087341308594,50.06183624267578
33.65987014770508,43.88695526123047
32.03057861328125,43.37193298339844
29.351686477661133,41.087703704833984
29.109272003173828,39.901512145996094
28.089527130126953,38.02073287963867
28.971004486083984,39.05414962768555
24.545419692993164,37.4764289855957
23.5401611328125,35.53072738647461
22.52552604675293,34.86360549926758
22.66372299194336,35.90421676635742
21.907629013061523,34.86681365966797
21.035154342651367,34.61276626586914
20.569419860839844,32.86775588989258
26.48564910888672,36.21710968017578
19.897567749023438,32.62127685546875
20.311145782470703,33.95064163208008
22.423877716064453,37.175479888916016
21.883005142211914,36.47109603881836
27.207530975341797,42.561805725097656
19.11271095275879,31.56836700439453
18.896373748779297,31.601526260375977
20.60744857788086,35.119712829589844
19.637161254882812,33.63920211791992
19.66737937927246,32.76483154296875
18.695859909057617,32.765621185302734
23.711336135864258,34.33729934692383
18.06916618347168,31.388795852661133
19.806591033935547,32.10634231567383
18.135093688964844,31.550073623657227
18.81711196899414,31.615650177001953
18.798892974853516,31.180753707885742
19.385379791259766,32.32460021972656
18.602075576782227,33.00584030151367
17.919252395629883,30.899192810058594
18.66855239868164,33.59635543823242
18.013376235961914,31.013723373413086
18.12709617614746,30.943256378173828
17.829797744750977,32.36281967163086
18.58683204650879,31.406644821166992
17.663955688476562,31.6058349609375
17.28084373474121,31.70627784729004
18.36666488647461,30.852611541748047
17.82553482055664,32.31177520751953
17.410812377929688,30.62786102294922
17.899682998657227,32.142860412597656
17.647066116333008,30.77922821044922
17.970870971679688,32.045494079589844
21.660615921020508,33.24993896484375
18.623573303222656,32.50999069213867
17.55315399169922,31.94268226623535
17.646102905273438,31.657840728759766
17.104883193969727,30.570465087890625
25.62108039855957,36.38218688964844
17.690359115600586,31.918296813964844
16.995805740356445,31.050752639770508
17.202587127685547,31.760129928588867
17.023792266845703,31.50105857849121
17.337234497070312,31.2579288482666
20.352968215942383,32.72340774536133
19.202613830566406,34.3758430480957
17.61039161682129,31.91532325744629
27.561798095703125,43.94804382324219
16.758859634399414,30.84275245666504
18.029830932617188,33.21729278564453
18.67106819152832,32.49372482299805
19.335968017578125,34.40945053100586
19.070199966430664,34.81045150756836
18.36688804626465,32.30909729003906
19.236879348754883,32.00031661987305
16.64382553100586,31.007312774658203
20.513160705566406,36.41128921508789
25.23697280883789,41.73223114013672
16.506216049194336,30.794818878173828
19.589284896850586,32.415008544921875
24.79734992980957,39.587127685546875
22.2083797454834,38.447662353515625
22.994565963745117,34.69795227050781
17.29679298400879,30.930753707885742
17.756227493286133,30.996601104736328
18.072250366210938,33.692901611328125
16.661537170410156,30.81867027282715
19.83315086364746,33.243675231933594
17.669532775878906,33.18947982788086
23.330961227416992,37.86915969848633
16.661392211914062,30.33315086364746
22.674793243408203,34.5828971862793
18.240299224853516,31.454626083374023
21.072660446166992,33.615779876708984
21.52238655090332,34.05735778808594
17.3974552154541,31.675256729125977
19.582382202148438,32.67767333984375
17.62006187438965,31.570655822753906
16.643512725830078,31.11331558227539
28.542097091674805,39.543636322021484
17.01207160949707,32.05451202392578
16.217899322509766,30.660634994506836
18.446544647216797,31.80470085144043
19.47694206237793,32.41273880004883
17.024934768676758,31.510610580444336
19.389291763305664,32.63093185424805
20.79189682006836,36.0828742980957
16.97028160095215,32.336021423339844
18.622011184692383,33.70502471923828
16.6694393157959,31.448448181152344
20.888574600219727,36.72245407104492
33.15494155883789,49.197696685791016
16.886646270751953,31.182361602783203
16.90709686279297,32.02253341674805
30.510875701904297,46.60545349121094
16.28532600402832,31.229095458984375
18.601947784423828,33.89888381958008
17.879209518432617,32.523719787597656
19.975418090820312,33.93943786621094
17.677001953125,31.46440887451172
16.370525360107422,30.525127410888672
18.647472381591797,31.6734619140625
21.607763290405273,33.5301399230957
20.86778450012207,33.61109161376953
22.120729446411133,36.50330352783203
18.932735443115234,32.443023681640625
17.166259765625,32.61001968383789
23.72549057006836,35.623294830322266
17.238359451293945,31.530122756958008
16.89430809020996,32.107601165771484
17.677001953125,31.165159225463867
16.254167556762695,30.69778823852539
16.891725540161133,31.667482376098633
23.526512145996094,39.92277526855469
